Bus Name,Bus Type,Start Time,End Time,Rating,Total Duration,Price,Seats Available,Route Name,Route Link,State
P K Travels,A/C Sleeper (2+1),18:45,6:30,4.1,11h 45m,999,18 Seats available,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Ksrtc
NS Transports,Non A/C Seater / Sleeper (2+1),22:30,6:45,4,08h 15m,749,21 Seats available,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Ksrtc
MMK Travels,A/C Seater / Sleeper (2+1),22:30,7:30,4.6,09h 00m,799,24 Seats available,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Ksrtc
AdSAAM BUS,VE A/C Sleeper (2+1),21:45,6:45,4.2,09h 00m,833,18 Seats available,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Ksrtc
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,3.4,03h 54m,600,25 Seats available,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Ksrtc
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,1:30,4,04h 30m,400,32 Seats available,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Ksrtc
Galaxy Tours,A/C Semi Sleeper (2+2),21:45,2:01,3.2,04h 16m,700,17 Seats available,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Ksrtc
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,1:29,3.3,02h 59m,800,26 Seats available,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Ksrtc
MMK Travels,A/C Seater / Sleeper (2+1),21:30,6:00,4.4,08h 30m,750,21 Seats available,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Ksrtc
DLT BUS,A/C Sleeper (2+1),21:45,6:30,4.4,08h 45m,999,12 Seats available,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Ksrtc
National travels and logistics,A/C Sleeper (2+1),21:00,6:15,4.4,09h 15m,799,19 Seats available,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Ksrtc
AdSAAM BUS,VE A/C Sleeper (2+1),20:30,6:15,4.2,09h 45m,833,14 Seats available,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Ksrtc
Ubc travels,A/C Seater/Sleeper (2+1),20:45,3:00,3.6,06h 15m,900,39 Seats available,Ernakulam To Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ksrtc
Holy Maria Travels,A/C Semi Sleeper (2+2),20:50,2:10,3.7,05h 20m,700,35 Seats available,Ernakulam To Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ksrtc
Kalpaka Travels 1,A/C Sleeper (2+1),20:55,2:30,4.5,05h 35m,800,6 Seats available,Ernakulam To Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ksrtc
Sona Travels,Bharat Benz A/C Sleeper (2+1),21:00,2:45,3.1,05h 45m,800,22 Seats available,Ernakulam To Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ksrtc
A1 Travels,Bharat Benz A/C Sleeper (2+1),17:30,23:30,4.1,06h 00m,700,16 Seats available,Mysore To Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Ksrtc
SKS Tourist Corporation (REGD),A/C Sleeper (2+1),23:55,5:30,3.4,05h 35m,799,18 Seats available,Mysore To Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Ksrtc
Suraj Holidays,NON AC Seater / Sleeper 2+1,23:55,6:00,4.2,06h 05m,750,28 Seats available,Mysore To Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Ksrtc
NS Transports,Non A/C Seater / Sleeper (2+1),23:57,6:30,4.1,06h 33m,750,19 Seats available,Mysore To Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Ksrtc
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,18:35,4.6,06h 20m,399,32 Seats available,Kozhikode To Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Ksrtc
NS Transports,Non A/C Seater / Sleeper (2+1),19:30,2:30,4.1,07h 00m,749,17 Seats available,Kozhikode To Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Ksrtc
A1 Travels,A/C Seater / Sleeper (2+1),20:00,4:00,3.3,08h 00m,700,16 Seats available,Kozhikode To Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Ksrtc
NS Transports,Non A/C Seater / Sleeper (2+1),20:31,2:30,4.1,05h 59m,749,14 Seats available,Kozhikode To Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Ksrtc
BLM Transports,A/C Sleeper (2+1),22:00,1:00,3.9,03h 00m,1125,3 Seats available,Kozhikode To Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Ksrtc
EMERALD TRAVELS,A/C Sleeper (2+1),22:10,0:30,3,02h 20m,1100,17 Seats available,Kozhikode To Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Ksrtc
Madhavi Travels,A/C Sleeper (2+1),22:20,1:10,4,02h 50m,999,24 Seats available,Kozhikode To Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Ksrtc
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,1:55,4,02h 25m,799,40 Seats available,Kozhikode To Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,Ksrtc
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,7:30,4,08h 00m,899,39 Seats available,Kozhikode To Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Ksrtc
